,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,labels
0,-0.897233,-0.5,-1.0,-1.0,-0.106464,-0.9790620000000001,-0.0211182,-0.976144,-0.5559,-0.627229,-0.46686300000000003,-0.582229,0.0335821,-0.204706,-0.0550284,-0.46686300000000003,-0.208659,-0.784325,-1.0
1,0.833992,-0.283333,-1.0,-1.0,-0.973384,-0.999604,-0.9751549999999999,-0.9997010000000001,-0.970565,-0.9983790000000001,-0.9263620000000001,-0.9906469999999999,0.46641800000000005,-0.5176470000000001,0.00948768,-0.9263620000000001,0.9682540000000001,-0.713667,-1.0
2,-0.07509880000000001,-0.05,-1.0,-1.0,-0.9771860000000001,-0.9993989999999999,-0.960248,-0.999503,-0.983992,-1.0,-0.9587629999999999,-0.995323,0.552239,-0.611765,0.0740038,-0.9587629999999999,1.0,-0.708384,-1.0
3,0.8260870000000001,-0.041666699999999994,-1.0,0.0,-0.8365020000000001,-0.976031,-0.945342,-0.990917,-0.978828,-0.993517,-0.9528719999999999,-0.9922059999999999,0.559701,-0.607059,0.0588235,-0.9528719999999999,0.931624,-0.685437,-1.0
4,-0.604743,-0.13333299999999998,-1.0,-1.0,-0.9543729999999999,-0.999014,-0.9378879999999999,-0.9990120000000001,-0.962303,-0.9918959999999999,-0.92489,-0.9735,0.45149300000000003,-0.548235,0.0740038,-0.92489,0.8359790000000001,-0.76974,-1.0
5,-0.114625,-0.291667,-1.0,-1.0,-0.9353610000000001,-0.998977,-0.950311,-0.999508,-0.9468110000000001,-0.983793,-0.886598,-0.975058,0.395522,-0.43529399999999996,-0.051233400000000005,-0.886598,0.744444,-0.711939,-1.0
6,-0.00395257,0.1,-1.0,-1.0,-0.897338,-0.9997540000000001,-0.960248,-0.999124,-0.9416469999999999,-0.987034,-0.874816,-0.968823,0.335821,-0.402353,-0.04364319999999999,-0.874816,0.830752,-0.735837,-1.0
7,-0.810277,0.05833330000000001,-0.333333,-1.0,-0.9125479999999999,-0.9976940000000001,-0.9677020000000001,-0.999292,-0.9277049999999999,-0.970827,-0.876289,-0.9407639999999999,0.347015,-0.472941,0.0588235,-0.876289,0.580022,-0.785999,-1.0
8,-0.09881419999999999,0.05833330000000001,-1.0,-1.0,-0.9771860000000001,-0.999821,-0.985093,-0.9997440000000001,-0.9891559999999999,-1.0,-0.9690719999999999,-1.0,0.5895520000000001,-0.6376470000000001,0.07779889999999999,-0.9690719999999999,1.0,-0.681103,-1.0
9,0.778656,-0.491667,-1.0,-1.0,-0.9125479999999999,-0.9983489999999999,-0.9378879999999999,-0.997922,-0.937,-0.97731,-0.874816,-0.964147,0.36940300000000004,-0.423529,-0.04364319999999999,-0.874816,0.68338,-0.722175,-1.0
10,-0.7470359999999999,0.09166669999999999,-1.0,-1.0,-0.992395,-0.9999399999999999,-0.995031,-0.999957,-0.999484,-1.0,-0.998527,-1.0,0.664179,-0.731765,0.1537,-0.998527,-0.777778,-0.681103,-1.0
11,-0.683794,-0.466667,-1.0,0.0,0.053232,-0.961408,0.19006199999999998,-0.954248,-0.23315300000000003,-0.307942,-0.132548,-0.268901,-0.0932835,-0.0729412,-0.13852,-0.132548,-0.404396,-0.769192,-1.0
12,-0.375494,-0.366667,-1.0,0.0,0.6692020000000001,0.155563,1.0,1.0,-0.0596437,-0.142626,0.047128199999999995,-0.0943102,-0.205224,-0.00235291,-0.13852,0.047128199999999995,-0.387437,-0.791142,-1.0
13,-0.256917,-0.3,-1.0,-1.0,-0.95057,-0.9983489999999999,-0.950311,-0.9996370000000001,-0.909631,-0.9659639999999999,-0.8335790000000001,-0.9360870000000001,0.25,-0.350588,-0.0398482,-0.8335790000000001,0.633818,-0.757622,-1.0
14,-0.873518,-0.191667,-1.0,-1.0,-0.9125479999999999,-0.9986950000000001,-0.9478260000000001,-0.998683,-0.9741799999999999,-0.9918959999999999,-0.955817,-0.976617,0.537313,-0.642353,0.13852,-0.955817,0.7518520000000001,-0.8051510000000001,-1.0
15,-0.660079,-0.0666667,-1.0,-1.0,-0.9277569999999999,-0.997991,-0.9552799999999999,-0.998782,-0.9793440000000001,-0.9967590000000001,-0.951399,-0.9922059999999999,0.541045,-0.597647,0.06261860000000001,-0.951399,0.92381,-0.703721,-1.0
16,-0.533597,0.00833333,-1.0,-1.0,-0.992395,-0.9999399999999999,-0.9900620000000001,-0.999957,-0.994836,-1.0,-0.9852719999999999,-1.0,0.6305970000000001,-0.689412,0.119545,-0.9852719999999999,0.777778,-0.681103,-1.0
