,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,labels
0,0.00101615,-0.00215588,0.01346918,0.017333900000000003,-0.05522467,0.04048617,0.0008436,-0.00177326,0.01513709,0.00818249,-0.04974314,0.01200616,0.00038079,-0.00097992,0.0004951,0.00023741,-0.00401622,-0.0028909,0.00036273,-0.00077641,0.00142782,-0.00111213,-0.00209209,-0.00473281,0.01367842,0.07063539,0.01526393,0.05182163,0.00116205,0.00495416,0.00166524,0.00529275,-1.0
1,0.00461122,-0.00156071,-0.00095678,-0.0070093,-0.00798129,0.00172868,0.00452454,-0.00020953,-0.00071033,-0.00565095,-0.00134608,0.00095986,-0.00016563,0.00032889,-1.455e-05,-0.00043159,-0.00015412,7.835e-05,-0.00015204,0.00028501,-2.116e-05,0.00014075,0.00043771,-8.385e-05,0.00496131,0.01076195,0.00458475,0.00588783,0.00036853,0.00046493,0.00032372,0.00046736,-1.0
2,0.00307449,0.00307934,-0.002426,-0.0331437,-0.09510439999999999,0.00225081,0.00602127,0.00285097,-0.00250002,-0.0239029,-0.07146877,0.00281558,0.00184518,0.00124174,-0.00074899,0.00265416,-0.01036826,-0.00044874,0.00311479,0.00072951,-0.0007425,-0.00128219,-0.00584454,0.00050617,0.004982,0.10073936,0.00711575,0.07541260000000001,0.00234682,0.01071199,0.00328412,0.0060049,-1.0
3,-0.018424,-0.00950318,0.00473345,0.01327648,-0.00955424,0.00503334,-0.01000823,-0.00382339,0.00530279,0.00666677,-0.00458663,0.00539758,-0.00232935,-0.00600431,-0.00011746,0.00317525,-0.00635397,-0.00019315,-0.00124387,-0.00518423,3.574e-05,0.0025633,-0.00466894,-0.00010442,0.02126404,0.01711382,0.01195418,0.00972712,0.00644138,0.007105800000000001,0.00533148,0.00532733,-1.0
4,-0.00075262,0.01064676,-0.004304100000000001,0.00547123,0.01089212,-0.00510841,0.0034553000000000006,0.00753807,-0.00379429,0.00132255,0.00771689,-0.00427727,-0.00490665,-0.00208116,0.00023238,0.00469624,-0.00322156,-0.00011967,-0.00353871,-0.00200933,0.00018646,0.00330711,-0.00217396,0.00018039,0.01150848,0.01321622,0.00911911,0.00892158,0.00533483,0.00569627,0.00407365,0.00396177,-1.0
5,0.01393241,0.00015331,-0.00286839,0.00081445,-0.01122421,5.423e-05,-0.01185632,-0.00293415,-0.00202747,0.00075352,-0.00369476,-0.00098211,0.00430875,0.00641008,-0.00095596,-0.00032316,-0.00015306,5.12e-05,-0.00314735,0.00093662,-0.00058654,-0.00048307,0.00425121,-0.0007119,0.01422544,0.01125385,0.01238112,0.00389661,0.00778256,0.00036122,0.00333573,0.00433739,-1.0
6,0.00032825,6.378e-05,4.53e-06,-0.00119692,-0.00442294,0.00036398,0.00025817,0.00016735,-3.269e-05,-0.00337792,-0.00869384,9.71e-06,1.064e-05,4.39e-06,-1.5e-07,0.00099589,0.00189871,-0.00025446,5.84e-06,4.86e-06,-9.5e-07,0.00013214,-6.523e-05,-4.686e-05,0.00033442,0.00459647,0.0003094,0.00932702,1.151e-05,0.00215908,7.66e-06,0.00015463,-1.0
7,0.00242664,-0.05683175,-0.00089966,-0.00963354,0.03450774,-9.88e-05,0.01019922,-0.05415343,-0.00193432,-0.00537108,0.03314506,0.0012822,-0.00066828,6.276e-05,-0.00105345,-0.00178678,-0.00406406,4.382e-05,0.00191511,-0.00036844,-0.00156188,0.00053416,-0.00377344,0.00057083,0.05689065,0.03582735,0.05513946,0.03360189,0.00124911,0.00443972,0.00249857,0.00385357,-1.0
8,0.00088391,-0.00037773,0.00013059,-0.00044647,0.00477341,-0.00053471,-5.546e-05,2.492e-05,0.00010501,-0.00031021,0.0016495000000000001,-0.00013726,-6.907e-05,-2.858e-05,2.7000000000000004e-06,-0.00034075,-7.347e-05,-0.00010251,-2.759e-05,-8.9e-07,1.627e-05,-0.00019626,-0.00012457,2.189e-05,0.00097006,0.00482397,0.00012134,0.00168402,7.48e-05,0.00036334,3.204e-05,0.00023348,-1.0
9,-0.00015789,-0.00020712,-4.057e-05,0.00177265,0.00025728,-0.00618989,-7.642e-05,-0.0001394,-2.239e-05,0.00053384,-0.00152086,-0.00537714,8.043e-05,-0.00010996,-2.59e-06,-0.004298,-0.00011953,-1.31e-06,4.49e-05,-0.00012165,-1.421e-05,-0.00065758,-0.00013901,-0.00045488,0.00026358,0.00644385,0.00016054,0.00561352,0.00013626,0.00429966,0.00013044,0.00081157,-1.0
10,-0.02351019,0.00074812,0.00067656,-0.03725702,-0.01119815,-0.00051647,-0.02156165,0.0045777000000000005,-0.00044699999999999997,-0.02798012,-0.01263153,-0.00020067,0.00011828,-0.00027953,3.515e-05,-0.00827922,0.0020238,-0.00056912,-0.00025101,-0.00019838,-2.66e-06,-0.00076179,-0.0003126,0.00012825,0.02353182,0.03890695,0.02204677,0.03069989,0.00030555,0.00854196,0.00031995,0.00083336,-1.0
11,0.00018198,-0.00115998,0.00085534,-0.02587207,-0.03626958,0.00179603,0.00179633,0.00209216,0.00053197,-0.0199149,-0.02415335,0.00211575,-0.00037057,0.00022186,0.0001217,-0.00414936,-0.00424683,-0.00021981,0.00016543,0.00122803,1.553e-05,-0.00236076,-0.00155698,0.00030806,0.00145267,0.044587800000000004,0.00280837,0.03137617,0.00044873,0.00594147,0.00123922,0.00284469,-1.0
12,-0.00731699,0.04451659,-0.00294622,-0.00389911,-0.02210396,-0.00245302,-0.01223197,0.04175855,9.997e-05,-0.00578076,-0.01927982,-0.00357049,0.00268005,-0.00524101,-0.00120721,0.00039695,0.00311244,-0.00023782,0.000591,-0.00078499,-0.00070301,0.00167235,0.0033079999999999997,2.86e-06,0.04521001,0.02257887,0.04351331,0.02044204,0.00600901,0.00314665,0.00120819,0.0037067,-1.0
13,0.00496188,0.00451863,-0.00094823,-0.00309521,-0.026304200000000003,0.00151986,0.00396326,0.00387604,-0.00095556,-0.00030854,-0.01859756,0.00245847,0.00067066,0.00312024,-7.292e-05,-0.0002088,-0.00742454,-0.00012147,-0.00075881,0.00048819,1.4499999999999998e-05,0.00133223,-0.00400212,0.00037284,0.00677771,0.02652925,0.00562532,0.01876189,0.00319233,0.00742847,0.0009023999999999999,0.00423448,-1.0
14,0.00139575,-0.01951986,0.00021619,0.00304384,0.00208725,-0.00021286,0.00202073,-0.01733523,0.000218,0.00244985,0.00137593,-0.00030102,-0.00122133,0.0006865,-0.00028078,8.347e-05,0.00076323,6.900000000000001e-06,-0.00047901,-0.00039928,-0.00017124,-0.00013333,5.866e-05,-3.292e-05,0.01957089,0.00369687,0.01745397,0.00282588,0.0014289,0.00076781,0.00064668,0.00014934,-1.0
