,0,1,2,3,4,5,6,7,8,9,labels
0,4.0,9.0,2.0,11.0,3.0,8.0,1.0,12.0,4.0,2.0,-1.0
1,4.0,13.0,4.0,8.0,4.0,5.0,1.0,4.0,4.0,6.0,-1.0
2,2.0,7.0,2.0,5.0,3.0,4.0,4.0,11.0,3.0,12.0,-1.0
3,3.0,11.0,2.0,3.0,3.0,6.0,4.0,7.0,1.0,10.0,-1.0
4,1.0,3.0,4.0,7.0,2.0,6.0,3.0,4.0,4.0,10.0,-1.0
5,2.0,3.0,4.0,6.0,4.0,13.0,4.0,5.0,3.0,10.0,-1.0
6,1.0,9.0,3.0,10.0,3.0,8.0,4.0,6.0,1.0,3.0,-1.0
7,4.0,4.0,1.0,2.0,3.0,11.0,1.0,8.0,4.0,1.0,-1.0
8,2.0,13.0,4.0,3.0,2.0,7.0,2.0,11.0,1.0,9.0,-1.0
9,1.0,11.0,4.0,2.0,2.0,5.0,3.0,6.0,1.0,13.0,-1.0
10,1.0,6.0,2.0,9.0,3.0,13.0,3.0,5.0,3.0,1.0,-1.0
11,3.0,5.0,4.0,2.0,4.0,8.0,4.0,7.0,1.0,12.0,-1.0
12,3.0,9.0,1.0,6.0,4.0,12.0,4.0,13.0,1.0,3.0,-1.0
13,1.0,5.0,2.0,6.0,1.0,8.0,1.0,7.0,3.0,1.0,-1.0
14,4.0,5.0,1.0,9.0,2.0,3.0,1.0,4.0,1.0,8.0,-1.0
15,2.0,3.0,4.0,11.0,4.0,10.0,4.0,9.0,4.0,7.0,-1.0
16,2.0,3.0,3.0,13.0,3.0,10.0,4.0,12.0,2.0,6.0,-1.0
17,2.0,7.0,2.0,10.0,3.0,13.0,3.0,6.0,3.0,9.0,-1.0
18,1.0,3.0,1.0,10.0,2.0,4.0,1.0,12.0,4.0,9.0,-1.0
19,1.0,8.0,1.0,1.0,2.0,12.0,4.0,10.0,4.0,7.0,-1.0
20,3.0,6.0,3.0,2.0,4.0,4.0,4.0,7.0,2.0,12.0,-1.0
21,2.0,8.0,1.0,5.0,4.0,13.0,2.0,12.0,2.0,6.0,-1.0
22,4.0,10.0,1.0,13.0,1.0,9.0,2.0,3.0,2.0,7.0,-1.0
23,2.0,7.0,1.0,5.0,3.0,2.0,2.0,11.0,1.0,3.0,-1.0
24,2.0,3.0,4.0,2.0,4.0,9.0,2.0,6.0,3.0,10.0,-1.0
25,4.0,13.0,4.0,11.0,4.0,1.0,2.0,10.0,3.0,5.0,-1.0
26,2.0,11.0,2.0,4.0,2.0,7.0,4.0,9.0,4.0,3.0,-1.0
27,2.0,1.0,4.0,8.0,2.0,10.0,3.0,13.0,4.0,7.0,-1.0
28,2.0,3.0,2.0,12.0,4.0,1.0,2.0,2.0,4.0,11.0,-1.0
29,2.0,3.0,1.0,10.0,4.0,13.0,4.0,4.0,2.0,5.0,-1.0
30,3.0,6.0,4.0,11.0,4.0,3.0,2.0,13.0,2.0,10.0,-1.0
31,4.0,2.0,2.0,1.0,4.0,9.0,3.0,13.0,1.0,11.0,-1.0
32,4.0,7.0,4.0,9.0,4.0,4.0,3.0,6.0,4.0,2.0,-1.0
33,3.0,6.0,3.0,13.0,1.0,12.0,2.0,7.0,2.0,11.0,-1.0
34,2.0,1.0,3.0,3.0,3.0,13.0,1.0,4.0,4.0,2.0,-1.0
35,2.0,8.0,2.0,1.0,3.0,10.0,2.0,12.0,2.0,11.0,-1.0
36,2.0,9.0,1.0,8.0,4.0,2.0,2.0,4.0,1.0,11.0,-1.0
37,4.0,2.0,1.0,10.0,4.0,3.0,1.0,8.0,2.0,4.0,-1.0
38,1.0,4.0,2.0,6.0,1.0,7.0,2.0,9.0,1.0,12.0,-1.0
39,3.0,12.0,2.0,11.0,1.0,5.0,1.0,1.0,3.0,8.0,-1.0
40,3.0,6.0,2.0,4.0,2.0,1.0,3.0,12.0,2.0,5.0,-1.0
41,1.0,6.0,3.0,1.0,1.0,9.0,4.0,7.0,4.0,8.0,-1.0
42,3.0,7.0,2.0,4.0,4.0,1.0,2.0,5.0,1.0,10.0,-1.0
43,4.0,9.0,1.0,5.0,4.0,3.0,4.0,8.0,2.0,4.0,-1.0
44,4.0,8.0,3.0,12.0,4.0,13.0,4.0,6.0,2.0,11.0,-1.0
45,2.0,9.0,1.0,10.0,4.0,3.0,2.0,13.0,2.0,11.0,-1.0
46,3.0,6.0,3.0,10.0,3.0,13.0,2.0,4.0,4.0,12.0,-1.0
47,1.0,9.0,1.0,10.0,2.0,7.0,4.0,13.0,3.0,5.0,-1.0
48,2.0,7.0,1.0,9.0,1.0,5.0,1.0,11.0,3.0,1.0,-1.0
49,1.0,11.0,1.0,10.0,2.0,7.0,4.0,3.0,3.0,8.0,-1.0
50,3.0,8.0,4.0,10.0,1.0,2.0,1.0,7.0,2.0,9.0,-1.0
51,3.0,6.0,4.0,1.0,3.0,8.0,1.0,11.0,2.0,3.0,-1.0
52,2.0,5.0,4.0,9.0,3.0,3.0,4.0,10.0,4.0,7.0,-1.0
53,2.0,2.0,4.0,5.0,3.0,13.0,3.0,10.0,1.0,12.0,-1.0
54,3.0,5.0,3.0,10.0,4.0,12.0,4.0,3.0,4.0,1.0,-1.0
55,4.0,7.0,1.0,8.0,1.0,6.0,1.0,13.0,2.0,11.0,-1.0
56,2.0,6.0,2.0,10.0,2.0,2.0,3.0,13.0,3.0,7.0,-1.0
57,1.0,13.0,4.0,5.0,1.0,1.0,1.0,12.0,1.0,4.0,-1.0
58,3.0,4.0,2.0,9.0,3.0,3.0,1.0,8.0,4.0,11.0,-1.0
59,3.0,9.0,3.0,10.0,1.0,5.0,1.0,1.0,1.0,7.0,-1.0
60,4.0,7.0,4.0,5.0,1.0,10.0,3.0,6.0,2.0,13.0,-1.0
61,2.0,3.0,3.0,9.0,4.0,2.0,4.0,12.0,1.0,10.0,-1.0
62,3.0,5.0,4.0,13.0,3.0,11.0,4.0,8.0,2.0,1.0,-1.0
63,2.0,10.0,1.0,11.0,2.0,12.0,1.0,6.0,2.0,2.0,-1.0
64,2.0,12.0,3.0,13.0,2.0,1.0,4.0,6.0,4.0,7.0,-1.0
65,3.0,6.0,1.0,4.0,3.0,1.0,4.0,10.0,1.0,5.0,-1.0
66,4.0,6.0,2.0,7.0,4.0,4.0,4.0,10.0,4.0,1.0,-1.0
67,3.0,13.0,4.0,3.0,3.0,10.0,4.0,5.0,1.0,11.0,-1.0
68,1.0,3.0,1.0,12.0,1.0,2.0,2.0,10.0,1.0,11.0,-1.0
69,4.0,1.0,4.0,2.0,2.0,12.0,3.0,10.0,3.0,5.0,-1.0
70,1.0,2.0,4.0,10.0,3.0,7.0,2.0,11.0,2.0,6.0,-1.0
71,2.0,12.0,2.0,13.0,3.0,3.0,4.0,8.0,2.0,6.0,-1.0
72,3.0,3.0,4.0,6.0,3.0,12.0,2.0,9.0,4.0,2.0,-1.0
73,1.0,6.0,3.0,3.0,1.0,7.0,3.0,1.0,2.0,5.0,-1.0
74,1.0,5.0,1.0,12.0,2.0,11.0,3.0,7.0,1.0,9.0,-1.0
75,1.0,10.0,1.0,2.0,3.0,13.0,2.0,4.0,3.0,11.0,-1.0
76,3.0,8.0,3.0,1.0,3.0,4.0,2.0,6.0,3.0,13.0,-1.0
77,2.0,4.0,1.0,3.0,3.0,12.0,2.0,10.0,4.0,8.0,-1.0
78,4.0,13.0,3.0,6.0,4.0,2.0,2.0,9.0,3.0,7.0,-1.0
79,3.0,9.0,4.0,5.0,3.0,1.0,2.0,11.0,2.0,7.0,-1.0
80,2.0,10.0,2.0,12.0,2.0,4.0,3.0,1.0,3.0,2.0,-1.0
81,2.0,6.0,2.0,11.0,2.0,4.0,4.0,9.0,1.0,3.0,-1.0
82,1.0,7.0,2.0,13.0,1.0,6.0,3.0,5.0,2.0,10.0,-1.0
83,3.0,2.0,2.0,6.0,2.0,7.0,2.0,5.0,3.0,3.0,-1.0
84,4.0,6.0,2.0,8.0,1.0,9.0,3.0,1.0,3.0,2.0,-1.0
85,4.0,7.0,3.0,3.0,4.0,11.0,4.0,13.0,2.0,2.0,-1.0
86,1.0,4.0,1.0,13.0,4.0,7.0,4.0,1.0,4.0,8.0,-1.0
87,3.0,2.0,1.0,5.0,1.0,12.0,3.0,3.0,4.0,9.0,-1.0
88,1.0,2.0,3.0,12.0,1.0,13.0,4.0,5.0,4.0,8.0,-1.0
89,1.0,11.0,2.0,5.0,1.0,4.0,2.0,6.0,4.0,12.0,-1.0
90,2.0,10.0,3.0,1.0,1.0,5.0,2.0,8.0,1.0,12.0,-1.0
91,4.0,8.0,2.0,4.0,3.0,6.0,1.0,11.0,4.0,2.0,-1.0
92,4.0,12.0,1.0,2.0,3.0,1.0,4.0,7.0,3.0,13.0,-1.0
93,1.0,11.0,4.0,7.0,2.0,6.0,4.0,5.0,3.0,9.0,-1.0
94,1.0,5.0,1.0,10.0,1.0,1.0,1.0,3.0,2.0,11.0,-1.0
95,3.0,3.0,2.0,13.0,4.0,1.0,2.0,12.0,2.0,9.0,-1.0
96,1.0,3.0,2.0,4.0,4.0,10.0,2.0,12.0,2.0,11.0,-1.0
