,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,labels
0,67.0,77.0,75.0,60.0,63.0,73.0,82.0,57.0,63.0,77.0,79.0,60.0,63.0,75.0,78.0,55.0,67.0,75.0,78.0,58.0,67.0,71.0,78.0,58.0,64.0,77.0,74.0,57.0,64.0,77.0,78.0,61.0,64.0,77.0,78.0,61.0,-1.0
1,71.0,75.0,83.0,67.0,71.0,79.0,87.0,70.0,71.0,83.0,87.0,70.0,71.0,79.0,81.0,67.0,75.0,79.0,85.0,67.0,75.0,87.0,89.0,71.0,70.0,75.0,84.0,66.0,70.0,75.0,80.0,63.0,70.0,83.0,88.0,70.0,-1.0
2,71.0,75.0,75.0,59.0,68.0,71.0,75.0,56.0,68.0,71.0,67.0,56.0,67.0,72.0,70.0,58.0,67.0,72.0,70.0,54.0,67.0,72.0,70.0,58.0,66.0,71.0,73.0,55.0,66.0,71.0,69.0,55.0,66.0,71.0,73.0,55.0,-1.0
3,64.0,71.0,75.0,56.0,64.0,75.0,79.0,56.0,64.0,71.0,75.0,63.0,67.0,72.0,67.0,54.0,67.0,72.0,70.0,58.0,63.0,72.0,74.0,58.0,63.0,67.0,69.0,55.0,63.0,71.0,73.0,59.0,63.0,75.0,76.0,59.0,-1.0
4,68.0,69.0,74.0,57.0,64.0,73.0,74.0,57.0,64.0,73.0,74.0,57.0,68.0,71.0,75.0,59.0,68.0,75.0,75.0,59.0,64.0,75.0,79.0,59.0,67.0,75.0,81.0,62.0,67.0,75.0,81.0,62.0,67.0,79.0,81.0,62.0,-1.0
5,63.0,79.0,85.0,62.0,67.0,79.0,82.0,65.0,63.0,79.0,85.0,65.0,64.0,77.0,82.0,65.0,64.0,77.0,82.0,65.0,60.0,77.0,82.0,65.0,64.0,75.0,79.0,63.0,64.0,75.0,83.0,67.0,68.0,79.0,83.0,67.0,-1.0
6,67.0,81.0,86.0,64.0,67.0,81.0,86.0,64.0,67.0,81.0,82.0,64.0,70.0,79.0,93.0,65.0,70.0,79.0,85.0,62.0,67.0,84.0,85.0,62.0,76.0,85.0,94.0,68.0,68.0,77.0,82.0,65.0,68.0,77.0,86.0,65.0,-1.0
7,64.0,68.0,75.0,56.0,64.0,68.0,71.0,56.0,64.0,71.0,71.0,56.0,67.0,72.0,74.0,54.0,67.0,75.0,70.0,54.0,67.0,75.0,74.0,58.0,66.0,75.0,80.0,59.0,66.0,79.0,76.0,59.0,66.0,79.0,80.0,63.0,-1.0
8,70.0,79.0,82.0,58.0,63.0,79.0,78.0,58.0,67.0,75.0,78.0,62.0,68.0,77.0,78.0,61.0,68.0,77.0,78.0,61.0,68.0,73.0,74.0,57.0,68.0,75.0,75.0,56.0,68.0,75.0,75.0,56.0,71.0,75.0,75.0,56.0,-1.0
9,67.0,79.0,82.0,65.0,70.0,79.0,82.0,62.0,70.0,79.0,85.0,62.0,76.0,81.0,86.0,65.0,72.0,81.0,86.0,65.0,68.0,81.0,82.0,65.0,71.0,87.0,91.0,63.0,71.0,83.0,87.0,70.0,71.0,83.0,87.0,67.0,-1.0
