,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,labels
0,67.0,77.0,79.0,64.0,71.0,77.0,75.0,64.0,71.0,77.0,82.0,68.0,78.0,84.0,89.0,73.0,74.0,88.0,89.0,69.0,70.0,79.0,85.0,65.0,76.0,81.0,90.0,76.0,76.0,85.0,90.0,72.0,76.0,77.0,90.0,68.0,-1.0
1,66.0,79.0,84.0,63.0,66.0,79.0,80.0,63.0,66.0,79.0,80.0,63.0,71.0,77.0,82.0,64.0,67.0,77.0,82.0,64.0,63.0,70.0,82.0,68.0,67.0,71.0,82.0,65.0,63.0,71.0,82.0,65.0,60.0,60.0,85.0,76.0,-1.0
2,75.0,87.0,89.0,67.0,71.0,87.0,89.0,67.0,67.0,79.0,85.0,67.0,66.0,79.0,76.0,59.0,70.0,79.0,88.0,63.0,74.0,87.0,88.0,70.0,67.0,73.0,75.0,57.0,63.0,73.0,75.0,57.0,67.0,84.0,79.0,68.0,-1.0
3,63.0,75.0,73.0,55.0,66.0,75.0,76.0,59.0,66.0,75.0,80.0,63.0,67.0,70.0,75.0,60.0,67.0,73.0,75.0,57.0,67.0,77.0,75.0,60.0,63.0,67.0,74.0,62.0,63.0,75.0,74.0,62.0,63.0,71.0,74.0,58.0,-1.0
4,67.0,75.0,74.0,58.0,67.0,75.0,77.0,58.0,67.0,79.0,81.0,62.0,66.0,71.0,73.0,55.0,66.0,75.0,76.0,63.0,66.0,79.0,84.0,63.0,67.0,73.0,79.0,57.0,67.0,77.0,82.0,60.0,67.0,73.0,86.0,64.0,-1.0
5,67.0,79.0,82.0,65.0,70.0,79.0,82.0,62.0,70.0,79.0,85.0,62.0,76.0,81.0,86.0,65.0,72.0,81.0,86.0,65.0,68.0,81.0,82.0,65.0,71.0,87.0,91.0,63.0,71.0,83.0,87.0,70.0,71.0,83.0,87.0,67.0,-1.0
6,63.0,71.0,69.0,55.0,63.0,67.0,73.0,55.0,66.0,71.0,73.0,55.0,63.0,70.0,68.0,53.0,67.0,70.0,72.0,57.0,67.0,73.0,79.0,57.0,63.0,71.0,74.0,55.0,63.0,67.0,74.0,55.0,63.0,71.0,78.0,58.0,-1.0
7,64.0,71.0,71.0,59.0,71.0,75.0,75.0,59.0,68.0,71.0,75.0,56.0,67.0,72.0,74.0,58.0,67.0,72.0,70.0,58.0,67.0,72.0,70.0,54.0,66.0,71.0,69.0,55.0,66.0,71.0,73.0,55.0,66.0,71.0,69.0,55.0,-1.0
8,63.0,64.0,70.0,58.0,59.0,64.0,67.0,54.0,63.0,68.0,70.0,58.0,63.0,67.0,66.0,55.0,63.0,67.0,73.0,55.0,63.0,67.0,69.0,59.0,59.0,66.0,65.0,60.0,67.0,70.0,75.0,60.0,67.0,66.0,72.0,57.0,-1.0
9,76.0,83.0,91.0,78.0,80.0,95.0,100.0,81.0,88.0,103.0,108.0,88.0,75.0,83.0,96.0,79.0,88.0,95.0,109.0,87.0,93.0,103.0,113.0,92.0,74.0,83.0,88.0,78.0,78.0,91.0,100.0,81.0,86.0,104.0,112.0,92.0,-1.0
10,68.0,75.0,79.0,59.0,64.0,75.0,79.0,59.0,68.0,75.0,75.0,59.0,67.0,72.0,74.0,58.0,63.0,72.0,74.0,58.0,67.0,75.0,74.0,58.0,66.0,75.0,76.0,59.0,63.0,71.0,76.0,59.0,63.0,71.0,76.0,59.0,-1.0
11,64.0,69.0,74.0,57.0,68.0,73.0,74.0,57.0,64.0,73.0,74.0,57.0,64.0,71.0,71.0,56.0,68.0,71.0,71.0,59.0,68.0,71.0,75.0,56.0,67.0,75.0,74.0,58.0,63.0,72.0,74.0,58.0,63.0,68.0,70.0,54.0,-1.0
12,64.0,77.0,78.0,61.0,68.0,77.0,78.0,61.0,68.0,77.0,78.0,65.0,68.0,79.0,83.0,63.0,68.0,79.0,79.0,67.0,64.0,83.0,83.0,67.0,71.0,83.0,85.0,62.0,71.0,87.0,85.0,67.0,71.0,79.0,85.0,67.0,-1.0
13,74.0,83.0,88.0,66.0,74.0,83.0,88.0,66.0,66.0,75.0,76.0,55.0,71.0,77.0,86.0,68.0,71.0,81.0,82.0,60.0,67.0,77.0,75.0,57.0,70.0,79.0,82.0,62.0,70.0,79.0,85.0,62.0,70.0,84.0,82.0,58.0,-1.0
14,72.0,81.0,86.0,65.0,68.0,77.0,82.0,65.0,64.0,73.0,78.0,57.0,68.0,79.0,83.0,63.0,68.0,79.0,83.0,67.0,68.0,75.0,83.0,59.0,67.0,79.0,81.0,67.0,71.0,83.0,81.0,67.0,67.0,75.0,77.0,62.0,-1.0
15,63.0,75.0,78.0,58.0,63.0,79.0,78.0,62.0,74.0,92.0,93.0,76.0,64.0,73.0,74.0,61.0,64.0,73.0,78.0,57.0,64.0,81.0,82.0,65.0,64.0,75.0,79.0,59.0,64.0,75.0,79.0,63.0,68.0,75.0,79.0,59.0,-1.0
16,70.0,79.0,93.0,65.0,70.0,79.0,85.0,62.0,67.0,84.0,85.0,62.0,76.0,85.0,94.0,68.0,68.0,77.0,82.0,65.0,68.0,77.0,86.0,65.0,76.0,87.0,91.0,70.0,71.0,83.0,87.0,67.0,68.0,83.0,83.0,63.0,-1.0
17,75.0,91.0,96.0,83.0,79.0,87.0,96.0,75.0,79.0,87.0,89.0,71.0,66.0,71.0,84.0,78.0,59.0,63.0,88.0,74.0,70.0,75.0,92.0,78.0,67.0,66.0,82.0,72.0,63.0,66.0,79.0,72.0,71.0,77.0,86.0,72.0,-1.0
18,67.0,81.0,82.0,64.0,67.0,77.0,82.0,64.0,71.0,88.0,93.0,72.0,70.0,84.0,82.0,65.0,67.0,84.0,82.0,65.0,67.0,84.0,85.0,69.0,64.0,77.0,82.0,65.0,64.0,81.0,78.0,65.0,68.0,81.0,82.0,65.0,-1.0
19,70.0,75.0,73.0,59.0,70.0,75.0,76.0,59.0,63.0,75.0,80.0,59.0,71.0,77.0,82.0,64.0,67.0,77.0,82.0,64.0,67.0,70.0,90.0,64.0,78.0,88.0,97.0,80.0,74.0,88.0,97.0,83.0,74.0,84.0,101.0,83.0,-1.0
20,84.0,103.0,104.0,81.0,84.0,95.0,96.0,78.0,80.0,87.0,91.0,74.0,84.0,95.0,96.0,75.0,71.0,83.0,85.0,67.0,71.0,79.0,85.0,67.0,78.0,87.0,96.0,78.0,78.0,83.0,84.0,70.0,70.0,79.0,80.0,66.0,-1.0
21,66.0,71.0,76.0,55.0,66.0,71.0,73.0,55.0,66.0,71.0,69.0,55.0,71.0,73.0,82.0,60.0,67.0,73.0,72.0,57.0,63.0,70.0,72.0,57.0,70.0,75.0,78.0,65.0,67.0,79.0,78.0,58.0,67.0,71.0,74.0,58.0,-1.0
22,74.0,79.0,84.0,63.0,70.0,83.0,84.0,66.0,66.0,87.0,84.0,70.0,75.0,84.0,93.0,68.0,75.0,91.0,90.0,75.0,79.0,88.0,93.0,75.0,78.0,92.0,97.0,80.0,78.0,92.0,101.0,83.0,82.0,97.0,101.0,83.0,-1.0
23,67.0,72.0,77.0,62.0,67.0,68.0,74.0,58.0,63.0,68.0,67.0,58.0,66.0,71.0,73.0,63.0,63.0,63.0,66.0,55.0,63.0,67.0,69.0,55.0,67.0,73.0,79.0,64.0,63.0,66.0,68.0,57.0,63.0,66.0,68.0,57.0,-1.0
24,70.0,79.0,82.0,62.0,67.0,75.0,74.0,62.0,60.0,63.0,74.0,58.0,72.0,81.0,86.0,68.0,72.0,77.0,78.0,61.0,64.0,73.0,74.0,57.0,71.0,79.0,83.0,67.0,71.0,79.0,79.0,67.0,71.0,83.0,79.0,63.0,-1.0
